Country	Track	Layout	Year	Grade	Length (KM)	Altitude (Meter)	Number of turns	DLC	Default date
Italy	Monza	Monza Historic 1971 10k (no chicane)	1971	Historic Alternate	10.000	180	9	Monza Pack	1971-4-25
Italy	Monza	Monza Historic 1971 Junior	1971	Historic Alternate	2.405	180	4	Monza Pack	1971-9-5
Italy	Monza	Monza Historic 1991	1991	Historic	5.800	180	14	Monza Pack	1991-9-8
Italy	Monza	Monza	2020	Grade 1	5.793	180	11	Monza Pack	2020-9-6
Italy	Monza	Monza Junior	2020	Ungraded/Alternate	2.405	180	4	Monza Pack	2020-4-16
Italy	Monza	Monza STT	2020	Grade 3	2.405	180	4	Adrenaline 2	2020-4-16
Germany	Nürburgring	Nordschleife 2020	2020	Grade 3	20.832	397	73	Nurburgring Pack	2020-8-1
Germany	Nürburgring	Nordschleife 24 Hour 2020	2020	Grade 3	25.378	397	88	Nurburgring Pack	2020-8-1
Germany	Nürburgring	Nordschleife 2025	2025	Grade 3	20.832	397	73	Nurburgring 2025 Pack	2025-7-1
Germany	Nürburgring	Nordschleife 2025 24hr	2025	Grade 3	25.378	397	88	Nurburgring 2025 Pack	2025-6-21
Germany	Nürburgring	Nordschleife Tourist 2025	2025	Grade 3	25.378	397	88*	Nurburgring 2025 Pack	2025-6-21
